=== HOPPER MINECARTS: 274 ===
(274 empty, 0 with items)
  (-286,63,336)  (empty)
  (-262,67,370)  (empty)
  (-188,83,370)  (empty)
  (-269,70,406)  (empty)
  (-253,70,414)  (empty)
  (-276,94,435)  (empty)
  (-272,94,435)  (empty)
  (-172,39,434)  (empty)
  (-484,23,454)  (empty)
  (-473,38,462)  (empty)
  (-473,37,462)  (empty)
  (-271,71,448)  (empty)
  (-196,70,457)  (empty)
  (-167,126,460)  (empty)
  (-169,197,448)  (empty)
  (-166,199,462)  (empty)
  (-164,199,461)  (empty)
  (-186,107,468)  (empty)
  (-170,147,474)  (empty)
  (-18,94,464)  (empty)
  (-298,102,488)  (empty)
  (-295,102,492)  (empty)
  (-44,47,489)  (empty)
  (-49,49,509)  (empty)
  (-49,48,509)  (empty)
  (-236,68,526)  (empty)
  (-212,68,526)  (empty)
  (-200,83,526)  (empty)
  (-200,83,526)  (empty)
  (-206,34,526)  (empty)
  (-200,82,526)  (empty)
  (-171,71,518)  (empty)
  (-127,104,514)  (empty)
  (-125,104,514)  (empty)
  (-114,63,512)  (empty)
  (-367,108,534)  (empty)
  (-368,105,534)  (empty)
  (-368,106,534)  (empty)
  (-368,111,534)  (empty)
  (-368,103,534)  (empty)
  (-368,102,534)  (empty)
  (-367,109,534)  (empty)
  (-368,112,534)  (empty)
  (-222,82,535)  (empty)
  (-218,82,535)  (empty)
  (-224,82,534)  (empty)
  (-216,12,530)  (empty)
  (-210,82,535)  (empty)
  (-212,82,535)  (empty)
  (-216,82,534)  (empty)
  (-265,94,552)  (empty)
  (-248,70,556)  (empty)
  (-225,73,546)  (empty)
  (-318,41,574)  (empty)
  (-276,92,574)  (empty)
  (-270,93,575)  (empty)
  (-263,96,570)  (empty)
  (-236,91,578)  (empty)
  (-224,91,578)  (empty)
  (-260,62,606)  (empty)
  (-258,88,593)  (empty)
  (-32,92,592)  (empty)
  (-10,153,606)  (empty)
  (-272,79,610)  (empty)
  (-276,35,646)  (empty)
  (-276,35,646)  (empty)
  (-276,35,646)  (empty)
  (-276,35,646)  (empty)
  (-276,35,646)  (empty)
  (-276,35,646)  (empty)
  (-294,33,678)  (empty)
  (-279,17,682)  (empty)
  (-31,210,680)  (empty)
  (-275,17,696)  (empty)
  (-18,105,692)  (empty)
  (-20,105,692)  (empty)
  (-23,109,696)  (empty)
  (-20,94,690)  (empty)
  (-8,227,689)  (empty)
  (-14,105,692)  (empty)
  (-12,105,691)  (empty)
  (-8,105,692)  (empty)
  (-6,105,692)  (empty)
  (-86,-43,710)  (empty)
  (-22,21,736)  (empty)
  (-1200,60,1)  (empty)
  (-1209,45,92)  (empty)
  (-1460,46,98)  (empty)
  (-1460,45,98)  (empty)
  (-1460,48,98)  (empty)
  (-1459,48,99)  (empty)
  (-1459,48,99)  (empty)
  (-1459,48,98)  (empty)
  (-1460,47,97)  (empty)
  (-1460,46,98)  (empty)
  (-1454,53,100)  (empty)
  (-1434,46,107)  (empty)
  (-1438,39,101)  (empty)
  (-1426,50,114)  (empty)
  (-1426,50,120)  (empty)
  (-1426,50,116)  (empty)
  (-1398,43,117)  (empty)
  (-1388,57,118)  (empty)
  (-1217,40,120)  (empty)
  (-1214,40,120)  (empty)
  (-1215,40,120)  (empty)
  (-1416,52,134)  (empty)
  (-1420,52,134)  (empty)
  (-1414,52,133)  (empty)
  (-1406,72,138)  (empty)
  (-1178,44,158)  (empty)
  (-1182,44,156)  (empty)
  (-1190,55,170)  (empty)
  (-1208,53,176)  (empty)
  (-1221,45,236)  (empty)
  (-1922,72,843)  (empty)
  (-1774,113,844)  (empty)
